I	एक
DCCCXII	आठ सौ बारह
DCCCXIII	आठ सौ तेरह
DCCCXIV	आठ सौ चौदह
DCCCXV	आठ सौ पंद्रह
DCCCXVI	आठ सौ सोलह
DCCCXVII	आठ सौ सत्रह
DCCCXVIII	आठ सौ अठारह
DCCCXIX	आठ सौ उन्नीस
DCCCXX	आठ सौ बीस
DCCCXXI	आठ सौ इक्कीस
DCCCXXII	आठ सौ बाईस
DCCCXXIII	आठ सौ तेईस
DCCCXXIV	आठ सौ चौबीस
DCCCXXV	आठ सौ पच्चीस
DCCCXXVI	आठ सौ छब्बीस
DCCCXXVII	आठ सौ सत्ताईस
DCCCXXVIII	आठ सौ अट्ठाईस
DCCCXXIX	आठ सौ उनतीस
DCCCXXX	आठ सौ तीस
DCCCXXXI	आठ सौ इकतीस
DCCCXXXII	आठ सौ बत्तीस
DCCCXXXIII	आठ सौ तैंतीस
DCCCXXXIV	आठ सौ चौंतीस
DCCCXXXV	आठ सौ पैंतीस
DCCCXXXVI	आठ सौ छत्तीस
DCCCXXXVII	आठ सौ सैंतीस
DCCCXXXVIII	आठ सौ अड़तीस
DCCCXXXIX	आठ सौ उनतालीस
DCCCXL	आठ सौ चालीस
DCCCXLI	आठ सौ इकतालीस
DCCCXLII	आठ सौ बयालीस
DCCCXLIII	आठ सौ तैंतालीस
DCCCXLIV	आठ सौ चौवालीस
DCCCXLV	आठ सौ पैंतालीस
DCCCXLVI	आठ सौ छियालीस
DCCCXLVII	आठ सौ सैंतालीस
DCCCXLVIII	आठ सौ अड़तालीस
DCCCXLIX	आठ सौ उनचास
DCCCL	आठ सौ पचास
DCCCLI	आठ सौ इक्यावन
DCCCLII	आठ सौ बावन
DCCCLIII	आठ सौ तिरेपन
DCCCLIV	आठ सौ चौवन
DCCCLV	आठ सौ पचपन
DCCCLVI	आठ सौ छप्पन
DCCCLVII	आठ सौ सत्तावन
DCCCLVIII	आठ सौ अट्ठावन
DCCCLIX	आठ सौ उनसठ
DCCCLX	आठ सौ साठ
DCCCLXI	आठ सौ इकसठ
DCCCLXII	आठ सौ बासठ
DCCCLXIII	आठ सौ तिरेसठ
DCCCLXIV	आठ सौ चौंसठ
DCCCLXV	आठ सौ पैंसठ
DCCCLXVI	आठ सौ छियासठ
DCCCLXVII	आठ सौ सड़सठ
DCCCLXVIII	आठ सौ अड़सठ
DCCCLXIX	आठ सौ उनहत्तर
DCCCLXX	आठ सौ सत्तर
DCCCLXXI	आठ सौ इकहत्तर
DCCCLXXII	आठ सौ बहत्तर
DCCCLXXIII	आठ सौ तिहत्तर
DCCCLXXIV	आठ सौ चौहत्तर
DCCCLXXV	आठ सौ पचहत्तर
DCCCLXXVI	आठ सौ छिहत्तर
DCCCLXXVII	आठ सौ सतहत्तर
DCCCLXXVIII	आठ सौ अठहत्तर
DCCCLXXIX	आठ सौ उनासी
DCCCLXXX	आठ सौ अस्सी
DCCCLXXXI	आठ सौ इक्यासी
DCCCLXXXII	आठ सौ बयासी
DCCCLXXXIII	आठ सौ तिरासी
DCCCLXXXIV	आठ सौ चौरासी
DCCCLXXXV	आठ सौ पचासी
DCCCLXXXVI	आठ सौ छियासी
DCCCLXXXVII	आठ सौ सत्तासी
DCCCLXXXVIII	आठ सौ अट्ठासी
DCCCLXXXIX	आठ सौ नवासी
DCCCXC	आठ सौ नब्बे
DCCCXCI	आठ सौ इक्यानबे
DCCCXCII	आठ सौ बानबे
DCCCXCIII	आठ सौ तिरानबे
DCCCXCIV	आठ सौ चौरानबे
DCCCXCV	आठ सौ पंचानबे
DCCCXCVI	आठ सौ छियानबे
DCCCXCVII	आठ सौ सत्तानबे
DCCCXCVIII	आठ सौ अट्ठानबे
DCCCXCIX	आठ सौ निन्यानबे
CM	नौ सौ
CMI	नौ सौ एक
CMII	नौ सौ दो
CMIII	नौ सौ तीन
CMIV	नौ सौ चार
CMV	नौ सौ पाँच
CMVI	नौ सौ छह
CMVII	नौ सौ सात
CMVIII	नौ सौ आठ
CMIX	नौ सौ नौ
CMX	नौ सौ दस
CMXI	नौ सौ ग्यारह
CMXII	नौ सौ बारह
CMXIII	नौ सौ तेरह
CMXIV	नौ सौ चौदह
CMXV	नौ सौ पंद्रह
CMXVI	नौ सौ सोलह
CMXVII	नौ सौ सत्रह
CMXVIII	नौ सौ अठारह
CMXIX	नौ सौ उन्नीस
CMXX	नौ सौ बीस
CMXXI	नौ सौ इक्कीस
CMXXII	नौ सौ बाईस
CMXXIII	नौ सौ तेईस
CMXXIV	नौ सौ चौबीस
CMXXV	नौ सौ पच्चीस
CMXXVI	नौ सौ छब्बीस
CMXXVII	नौ सौ सत्ताईस
CMXXVIII	नौ सौ अट्ठाईस
CMXXIX	नौ सौ उनतीस
CMXXX	नौ सौ तीस
CMXXXI	नौ सौ इकतीस
CMXXXII	नौ सौ बत्तीस
CMXXXIII	नौ सौ तैंतीस
CMXXXIV	नौ सौ चौंतीस
CMXXXV	नौ सौ पैंतीस
CMXXXVI	नौ सौ छत्तीस
CMXXXVII	नौ सौ सैंतीस
CMXXXVIII	नौ सौ अड़तीस
CMXXXIX	नौ सौ उनतालीस
CMXL	नौ सौ चालीस
CMXLI	नौ सौ इकतालीस
CMXLII	नौ सौ बयालीस
CMXLIII	नौ सौ तैंतालीस
CMXLIV	नौ सौ चौवालीस
CMXLV	नौ सौ पैंतालीस
CMXLVI	नौ सौ छियालीस
CMXLVII	नौ सौ सैंतालीस
CMXLVIII	नौ सौ अड़तालीस
CMXLIX	नौ सौ उनचास
CML	नौ सौ पचास
CMLI	नौ सौ इक्यावन
CMLII	नौ सौ बावन
CMLIII	नौ सौ तिरेपन
CMLIV	नौ सौ चौवन
CMLV	नौ सौ पचपन
CMLVI	नौ सौ छप्पन
CMLVII	नौ सौ सत्तावन
CMLVIII	नौ सौ अट्ठावन
CMLIX	नौ सौ उनसठ
CMLX	नौ सौ साठ
CMLXI	नौ सौ इकसठ
CMLXII	नौ सौ बासठ
CMLXIII	नौ सौ तिरेसठ
CMLXIV	नौ सौ चौंसठ
CMLXV	नौ सौ पैंसठ
CMLXVI	नौ सौ छियासठ
CMLXVII	नौ सौ सड़सठ
CMLXVIII	नौ सौ अड़सठ
CMLXIX	नौ सौ उनहत्तर
CMLXX	नौ सौ सत्तर
CMLXXI	नौ सौ इकहत्तर
CMLXXII	नौ सौ बहत्तर
CMLXXIII	नौ सौ तिहत्तर
CMLXXIV	नौ सौ चौहत्तर
CMLXXV	नौ सौ पचहत्तर
CMLXXVI	नौ सौ छिहत्तर
CMLXXVII	नौ सौ सतहत्तर
CMLXXVIII	नौ सौ अठहत्तर
CMLXXIX	नौ सौ उनासी
CMLXXX	नौ सौ अस्सी
CMLXXXI	नौ सौ इक्यासी
CMLXXXII	नौ सौ बयासी
CMLXXXIII	नौ सौ तिरासी
CMLXXXIV	नौ सौ चौरासी
CMLXXXV	नौ सौ पचासी
CMLXXXVI	नौ सौ छियासी
CMLXXXVII	नौ सौ सत्तासी
CMLXXXVIII	नौ सौ अट्ठासी
CMLXXXIX	नौ सौ नवासी
CMXC	नौ सौ नब्बे
CMXCI	नौ सौ इक्यानबे
CMXCII	नौ सौ बानबे
CMXCIII	नौ सौ तिरानबे
CMXCIV	नौ सौ चौरानबे
CMXCV	नौ सौ पंचानबे
CMXCVI	नौ सौ छियानबे
CMXCVII	नौ सौ सत्तानबे
CMXCVIII	नौ सौ अट्ठानबे
CMXCIX	नौ सौ निन्यानबे
M	एक हज़ार
MI	एक हज़ार एक
MII	एक हज़ार दो
MIII	एक हज़ार तीन
MIV	एक हज़ार चार
MV	एक हज़ार पाँच
MVI	एक हज़ार छह
MVII	एक हज़ार सात
MVIII	एक हज़ार आठ
MIX	एक हज़ार नौ
MX	एक हज़ार दस
MXI	एक हज़ार ग्यारह
MXII	एक हज़ार बारह
MXIII	एक हज़ार तेरह
MXIV	एक हज़ार चौदह
MXV	एक हज़ार पंद्रह
MXVI	एक हज़ार सोलह
MXVII	एक हज़ार सत्रह
MXVIII	एक हज़ार अठारह
MXIX	एक हज़ार उन्नीस
MXX	एक हज़ार बीस
MXXI	एक हज़ार इक्कीस
MXXII	एक हज़ार बाईस
MXXIII	एक हज़ार तेईस
MXXIV	एक हज़ार चौबीस
MXXV	एक हज़ार पच्चीस
MXXVI	एक हज़ार छब्बीस
MXXVII	एक हज़ार सत्ताईस
MXXVIII	एक हज़ार अट्ठाईस
MXXIX	एक हज़ार उनतीस
MXXX	एक हज़ार तीस
MXXXI	एक हज़ार इकतीस
MXXXII	एक हज़ार बत्तीस
MXXXIII	एक हज़ार तैंतीस
MXXXIV	एक हज़ार चौंतीस
MXXXV	एक हज़ार पैंतीस
MXXXVI	एक हज़ार छत्तीस
MXXXVII	एक हज़ार सैंतीस
MXXXVIII	एक हज़ार अड़तीस
MXXXIX	एक हज़ार उनतालीस
MXL	एक हज़ार चालीस
MXLI	एक हज़ार इकतालीस
MXLII	एक हज़ार बयालीस
MXLIII	एक हज़ार तैंतालीस
MXLIV	एक हज़ार चौवालीस
MXLV	एक हज़ार पैंतालीस
MXLVI	एक हज़ार छियालीस
MXLVII	एक हज़ार सैंतालीस
MXLVIII	एक हज़ार अड़तालीस
MXLIX	एक हज़ार उनचास
ML	एक हज़ार पचास
MLI	एक हज़ार इक्यावन
MLII	एक हज़ार बावन
MLIII	एक हज़ार तिरेपन
MLIV	एक हज़ार चौवन
MLV	एक हज़ार पचपन
MLVI	एक हज़ार छप्पन
MLVII	एक हज़ार सत्तावन
MLVIII	एक हज़ार अट्ठावन
MLIX	एक हज़ार उनसठ
MLX	एक हज़ार साठ
MLXI	एक हज़ार इकसठ
MLXII	एक हज़ार बासठ
MLXIII	एक हज़ार तिरेसठ
MLXIV	एक हज़ार चौंसठ
MLXV	एक हज़ार पैंसठ
MLXVI	एक हज़ार छियासठ
MLXVII	एक हज़ार सड़सठ
MLXVIII	एक हज़ार अड़सठ
MLXIX	एक हज़ार उनहत्तर
MLXX	एक हज़ार सत्तर
MLXXI	एक हज़ार इकहत्तर
MLXXII	एक हज़ार बहत्तर
MLXXIII	एक हज़ार तिहत्तर
MLXXIV	एक हज़ार चौहत्तर
MLXXV	एक हज़ार पचहत्तर
MLXXVI	एक हज़ार छिहत्तर
MLXXVII	एक हज़ार सतहत्तर
MLXXVIII	एक हज़ार अठहत्तर
MLXXIX	एक हज़ार उनासी
MLXXX	एक हज़ार अस्सी
MLXXXI	एक हज़ार इक्यासी
MLXXXII	एक हज़ार बयासी
MLXXXIII	एक हज़ार तिरासी
MLXXXIV	एक हज़ार चौरासी
MLXXXV	एक हज़ार पचासी
MLXXXVI	एक हज़ार छियासी
MLXXXVII	एक हज़ार सत्तासी
MLXXXVIII	एक हज़ार अट्ठासी
MLXXXIX	एक हज़ार नवासी
MXC	एक हज़ार नब्बे
MXCI	एक हज़ार इक्यानबे
MXCII	एक हज़ार बानबे
MXCIII	एक हज़ार तिरानबे
MXCIV	एक हज़ार चौरानबे
MXCV	एक हज़ार पंचानबे
MXCVI	एक हज़ार छियानबे
MXCVII	एक हज़ार सत्तानबे
MXCVIII	एक हज़ार अट्ठानबे
MXCIX	एक हज़ार निन्यानबे
MC	एक हज़ार एक सौ
MCI	एक हज़ार एक सौ एक
MCII	एक हज़ार एक सौ दो
MCIII	एक हज़ार एक सौ तीन
MCIV	एक हज़ार एक सौ चार
MCV	एक हज़ार एक सौ पाँच
MCVI	एक हज़ार एक सौ छह
MCVII	एक हज़ार एक सौ सात
MCVIII	एक हज़ार एक सौ आठ
MCIX	एक हज़ार एक सौ नौ
MCX	एक हज़ार एक सौ दस
MCXI	एक हज़ार एक सौ ग्यारह
MCXII	एक हज़ार एक सौ बारह
MCXIII	एक हज़ार एक सौ तेरह
MCXIV	एक हज़ार एक सौ चौदह
MCXV	एक हज़ार एक सौ पंद्रह
MCXVI	एक हज़ार एक सौ सोलह
MCXVII	एक हज़ार एक सौ सत्रह
MCXVIII	एक हज़ार एक सौ अठारह
MCXIX	एक हज़ार एक सौ उन्नीस
MCXX	एक हज़ार एक सौ बीस
MCXXI	एक हज़ार एक सौ इक्कीस
MCXXII	एक हज़ार एक सौ बाईस
MCXXIII	एक हज़ार एक सौ तेईस
MCXXIV	एक हज़ार एक सौ चौबीस
MCXXV	एक हज़ार एक सौ पच्चीस
MCXXVI	एक हज़ार एक सौ छब्बीस
MCXXVII	एक हज़ार एक सौ सत्ताईस
MCXXVIII	एक हज़ार एक सौ अट्ठाईस
MCXXIX	एक हज़ार एक सौ उनतीस
MCXXX	एक हज़ार एक सौ तीस
MCXXXI	एक हज़ार एक सौ इकतीस
MCXXXII	एक हज़ार एक सौ बत्तीस
MCXXXIII	एक हज़ार एक सौ तैंतीस
MCXXXIV	एक हज़ार एक सौ चौंतीस
MCXXXV	एक हज़ार एक सौ पैंतीस
MCXXXVI	एक हज़ार एक सौ छत्तीस
MCXXXVII	एक हज़ार एक सौ सैंतीस
MCXXXVIII	एक हज़ार एक सौ अड़तीस
MCXXXIX	एक हज़ार एक सौ उनतालीस
MCXL	एक हज़ार एक सौ चालीस
MCXLI	एक हज़ार एक सौ इकतालीस
MCXLII	एक हज़ार एक सौ बयालीस
MCXLIII	एक हज़ार एक सौ तैंतालीस
MCXLIV	एक हज़ार एक सौ चौवालीस
MCXLV	एक हज़ार एक सौ पैंतालीस
MCXLVI	एक हज़ार एक सौ छियालीस
MCXLVII	एक हज़ार एक सौ सैंतालीस
MCXLVIII	एक हज़ार एक सौ अड़तालीस
MCXLIX	एक हज़ार एक सौ उनचास
MCL	एक हज़ार एक सौ पचास
MCLI	एक हज़ार एक सौ इक्यावन
MCLII	एक हज़ार एक सौ बावन
MCLIII	एक हज़ार एक सौ तिरेपन
MCLIV	एक हज़ार एक सौ चौवन
MCLV	एक हज़ार एक सौ पचपन
MCLVI	एक हज़ार एक सौ छप्पन
MCLVII	एक हज़ार एक सौ सत्तावन
MCLVIII	एक हज़ार एक सौ अट्ठावन
MCLIX	एक हज़ार एक सौ उनसठ
MCLX	एक हज़ार एक सौ साठ
MCLXI	एक हज़ार एक सौ इकसठ
MCLXII	एक हज़ार एक सौ बासठ
MCLXIII	एक हज़ार एक सौ तिरेसठ
MCLXIV	एक हज़ार एक सौ चौंसठ
MCLXV	एक हज़ार एक सौ पैंसठ
MCLXVI	एक हज़ार एक सौ छियासठ
MCLXVII	एक हज़ार एक सौ सड़सठ
MCLXVIII	एक हज़ार एक सौ अड़सठ
MCLXIX	एक हज़ार एक सौ उनहत्तर
MCLXX	एक हज़ार एक सौ सत्तर
MCLXXI	एक हज़ार एक सौ इकहत्तर
MCLXXII	एक हज़ार एक सौ बहत्तर
MCLXXIII	एक हज़ार एक सौ तिहत्तर
MCLXXIV	एक हज़ार एक सौ चौहत्तर
MCLXXV	एक हज़ार एक सौ पचहत्तर
MCLXXVI	एक हज़ार एक सौ छिहत्तर
MCLXXVII	एक हज़ार एक सौ सतहत्तर
MCLXXVIII	एक हज़ार एक सौ अठहत्तर
MCLXXIX	एक हज़ार एक सौ उनासी
MCLXXX	एक हज़ार एक सौ अस्सी
MCLXXXI	एक हज़ार एक सौ इक्यासी
MCLXXXII	एक हज़ार एक सौ बयासी
MCLXXXIII	एक हज़ार एक सौ तिरासी
MCLXXXIV	एक हज़ार एक सौ चौरासी
MCLXXXV	एक हज़ार एक सौ पचासी
MCLXXXVI	एक हज़ार एक सौ छियासी
MCLXXXVII	एक हज़ार एक सौ सत्तासी
MCLXXXVIII	एक हज़ार एक सौ अट्ठासी
MCLXXXIX	एक हज़ार एक सौ नवासी
MCXC	एक हज़ार एक सौ नब्बे
MCXCI	एक हज़ार एक सौ इक्यानबे
MCXCII	एक हज़ार एक सौ बानबे
MCXCIII	एक हज़ार एक सौ तिरानबे
MCXCIV	एक हज़ार एक सौ चौरानबे
MCXCV	एक हज़ार एक सौ पंचानबे
MCXCVI	एक हज़ार एक सौ छियानबे
MCXCVII	एक हज़ार एक सौ सत्तानबे
MCXCVIII	एक हज़ार एक सौ अट्ठानबे
MCXCIX	एक हज़ार एक सौ निन्यानबे
MCC	एक हज़ार दो सौ
MCCI	एक हज़ार दो सौ एक
MCCII	एक हज़ार दो सौ दो
MCCIII	एक हज़ार दो सौ तीन
MCCIV	एक हज़ार दो सौ चार
MCCV	एक हज़ार दो सौ पाँच
MCCVI	एक हज़ार दो सौ छह
MCCVII	एक हज़ार दो सौ सात
MCCVIII	एक हज़ार दो सौ आठ
MCCIX	एक हज़ार दो सौ नौ
MCCX	एक हज़ार दो सौ दस
MCCXI	एक हज़ार दो सौ ग्यारह
MCCXII	एक हज़ार दो सौ बारह
MCCXIII	एक हज़ार दो सौ तेरह
MCCXIV	एक हज़ार दो सौ चौदह
MCCXV	एक हज़ार दो सौ पंद्रह
MCCXVI	एक हज़ार दो सौ सोलह
MCCXVII	एक हज़ार दो सौ सत्रह
MCCXVIII	एक हज़ार दो सौ अठारह
MCCXIX	एक हज़ार दो सौ उन्नीस
MCCXX	एक हज़ार दो सौ बीस
MCCXXI	एक हज़ार दो सौ इक्कीस
MCCXXII	एक हज़ार दो सौ बाईस
MCCXXIII	एक हज़ार दो सौ तेईस
MCCXXIV	एक हज़ार दो सौ चौबीस
MCCXXV	एक हज़ार दो सौ पच्चीस
MCCXXVI	एक हज़ार दो सौ छब्बीस
MCCXXVII	एक हज़ार दो सौ सत्ताईस
MCCXXVIII	एक हज़ार दो सौ अट्ठाईस
MCCXXIX	एक हज़ार दो सौ उनतीस
MCCXXX	एक हज़ार दो सौ तीस
MCCXXXI	एक हज़ार दो सौ इकतीस
MCCXXXII	एक हज़ार दो सौ बत्तीस
MCCXXXIII	एक हज़ार दो सौ तैंतीस
MCCXXXIV	एक हज़ार दो सौ चौंतीस
MCCXXXV	एक हज़ार दो सौ पैंतीस
MCCXXXVI	एक हज़ार दो सौ छत्तीस
MCCXXXVII	एक हज़ार दो सौ सैंतीस
MCCXXXVIII	एक हज़ार दो सौ अड़तीस
MCCXXXIX	एक हज़ार दो सौ उनतालीस
MCCXL	एक हज़ार दो सौ चालीस
MCCXLI	एक हज़ार दो सौ इकतालीस
MCCXLII	एक हज़ार दो सौ बयालीस
MCCXLIII	एक हज़ार दो सौ तैंतालीस
MCCXLIV	एक हज़ार दो सौ चौवालीस
MCCXLV	एक हज़ार दो सौ पैंतालीस
MCCXLVI	एक हज़ार दो सौ छियालीस
MCCXLVII	एक हज़ार दो सौ सैंतालीस
MCCXLVIII	एक हज़ार दो सौ अड़तालीस
MCCXLIX	एक हज़ार दो सौ उनचास
MCCL	एक हज़ार दो सौ पचास
MCCLI	एक हज़ार दो सौ इक्यावन
MCCLII	एक हज़ार दो सौ बावन
MCCLIII	एक हज़ार दो सौ तिरेपन
MCCLIV	एक हज़ार दो सौ चौवन
MCCLV	एक हज़ार दो सौ पचपन
MCCLVI	एक हज़ार दो सौ छप्पन
MCCLVII	एक हज़ार दो सौ सत्तावन
MCCLVIII	एक हज़ार दो सौ अट्ठावन
MCCLIX	एक हज़ार दो सौ उनसठ
MCCLX	एक हज़ार दो सौ साठ
MCCLXI	एक हज़ार दो सौ इकसठ
MCCLXII	एक हज़ार दो सौ बासठ
MCCLXIII	एक हज़ार दो सौ तिरेसठ
MCCLXIV	एक हज़ार दो सौ चौंसठ
MCCLXV	एक हज़ार दो सौ पैंसठ
MCCLXVI	एक हज़ार दो सौ छियासठ
MCCLXVII	एक हज़ार दो सौ सड़सठ
MCCLXVIII	एक हज़ार दो सौ अड़सठ
MCCLXIX	एक हज़ार दो सौ उनहत्तर
MCCLXX	एक हज़ार दो सौ सत्तर
MCCLXXI	एक हज़ार दो सौ इकहत्तर
MCCLXXII	एक हज़ार दो सौ बहत्तर
MCCLXXIII	एक हज़ार दो सौ तिहत्तर
MCCLXXIV	एक हज़ार दो सौ चौहत्तर
MCCLXXV	एक हज़ार दो सौ पचहत्तर
MCCLXXVI	एक हज़ार दो सौ छिहत्तर
MCCLXXVII	एक हज़ार दो सौ सतहत्तर
MCCLXXVIII	एक हज़ार दो सौ अठहत्तर
MCCLXXIX	एक हज़ार दो सौ उनासी
MCCLXXX	एक हज़ार दो सौ अस्सी
MCCLXXXI	एक हज़ार दो सौ इक्यासी
MCCLXXXII	एक हज़ार दो सौ बयासी
MCCLXXXIII	एक हज़ार दो सौ तिरासी
MCCLXXXIV	एक हज़ार दो सौ चौरासी
MCCLXXXV	एक हज़ार दो सौ पचासी
MCCLXXXVI	एक हज़ार दो सौ छियासी
MCCLXXXVII	एक हज़ार दो सौ सत्तासी
MCCLXXXVIII	एक हज़ार दो सौ अट्ठासी
MCCLXXXIX	एक हज़ार दो सौ नवासी
MCCXC	एक हज़ार दो सौ नब्बे
MCCXCI	एक हज़ार दो सौ इक्यानबे
MCCXCII	एक हज़ार दो सौ बानबे
MCCXCIII	एक हज़ार दो सौ तिरानबे
MCCXCIV	एक हज़ार दो सौ चौरानबे
MCCXCV	एक हज़ार दो सौ पंचानबे
MCCXCVI	एक हज़ार दो सौ छियानबे
MCCXCVII	एक हज़ार दो सौ सत्तानबे
MCCXCVIII	एक हज़ार दो सौ अट्ठानबे
MCCXCIX	एक हज़ार दो सौ निन्यानबे
MCCC	एक हज़ार तीन सौ
MCCCI	एक हज़ार तीन सौ एक
MCCCII	एक हज़ार तीन सौ दो
MCCCIII	एक हज़ार तीन सौ तीन
MCCCIV	एक हज़ार तीन सौ चार
MCCCV	एक हज़ार तीन सौ पाँच
MCCCVI	एक हज़ार तीन सौ छह
MCCCVII	एक हज़ार तीन सौ सात
MCCCVIII	एक हज़ार तीन सौ आठ
MCCCIX	एक हज़ार तीन सौ नौ
MCCCX	एक हज़ार तीन सौ दस
MCCCXI	एक हज़ार तीन सौ ग्यारह
MCCCXII	एक हज़ार तीन सौ बारह
MCCCXIII	एक हज़ार तीन सौ तेरह
MCCCXIV	एक हज़ार तीन सौ चौदह
MCCCXV	एक हज़ार तीन सौ पंद्रह
MCCCXVI	एक हज़ार तीन सौ सोलह
MCCCXVII	एक हज़ार तीन सौ सत्रह
MCCCXVIII	एक हज़ार तीन सौ अठारह
MCCCXIX	एक हज़ार तीन सौ उन्नीस
MCCCXX	एक हज़ार तीन सौ बीस
MCCCXXI	एक हज़ार तीन सौ इक्कीस
MCCCXXII	एक हज़ार तीन सौ बाईस
MCCCXXIII	एक हज़ार तीन सौ तेईस
MCCCXXIV	एक हज़ार तीन सौ चौबीस
MCCCXXV	एक हज़ार तीन सौ पच्चीस
MCCCXXVI	एक हज़ार तीन सौ छब्बीस
MCCCXXVII	एक हज़ार तीन सौ सत्ताईस
MCCCXXVIII	एक हज़ार तीन सौ अट्ठाईस
MCCCXXIX	एक हज़ार तीन सौ उनतीस
MCCCXXX	एक हज़ार तीन सौ तीस
MCCCXXXI	एक हज़ार तीन सौ इकतीस
MCCCXXXII	एक हज़ार तीन सौ बत्तीस
MCCCXXXIII	एक हज़ार तीन सौ तैंतीस
MCCCXXXIV	एक हज़ार तीन सौ चौंतीस
MCCCXXXV	एक हज़ार तीन सौ पैंतीस
MCCCXXXVI	एक हज़ार तीन सौ छत्तीस
MCCCXXXVII	एक हज़ार तीन सौ सैंतीस
MCCCXXXVIII	एक हज़ार तीन सौ अड़तीस
MCCCXXXIX	एक हज़ार तीन सौ उनतालीस
MCCCXL	एक हज़ार तीन सौ चालीस
MCCCXLI	एक हज़ार तीन सौ इकतालीस
MCCCXLII	एक हज़ार तीन सौ बयालीस
MCCCXLIII	एक हज़ार तीन सौ तैंतालीस
MCCCXLIV	एक हज़ार तीन सौ चौवालीस
MCCCXLV	एक हज़ार तीन सौ पैंतालीस
MCCCXLVI	एक हज़ार तीन सौ छियालीस
MCCCXLVII	एक हज़ार तीन सौ सैंतालीस
MCCCXLVIII	एक हज़ार तीन सौ अड़तालीस
MCCCXLIX	एक हज़ार तीन सौ उनचास
MCCCL	एक हज़ार तीन सौ पचास
MCCCLI	एक हज़ार तीन सौ इक्यावन
MCCCLII	एक हज़ार तीन सौ बावन
MCCCLIII	एक हज़ार तीन सौ तिरेपन
MCCCLIV	एक हज़ार तीन सौ चौवन
MCCCLV	एक हज़ार तीन सौ पचपन
MCCCLVI	एक हज़ार तीन सौ छप्पन
MCCCLVII	एक हज़ार तीन सौ सत्तावन
MCCCLVIII	एक हज़ार तीन सौ अट्ठावन
MCCCLIX	एक हज़ार तीन सौ उनसठ
MCCCLX	एक हज़ार तीन सौ साठ
MCCCLXI	एक हज़ार तीन सौ इकसठ
MCCCLXII	एक हज़ार तीन सौ बासठ
MCCCLXIII	एक हज़ार तीन सौ तिरेसठ
MCCCLXIV	एक हज़ार तीन सौ चौंसठ
MCCCLXV	एक हज़ार तीन सौ पैंसठ
MCCCLXVI	एक हज़ार तीन सौ छियासठ
MCCCLXVII	एक हज़ार तीन सौ सड़सठ
MCCCLXVIII	एक हज़ार तीन सौ अड़सठ
MCCCLXIX	एक हज़ार तीन सौ उनहत्तर
MCCCLXX	एक हज़ार तीन सौ सत्तर
MCCCLXXI	एक हज़ार तीन सौ इकहत्तर
MCCCLXXII	एक हज़ार तीन सौ बहत्तर
MCCCLXXIII	एक हज़ार तीन सौ तिहत्तर
MCCCLXXIV	एक हज़ार तीन सौ चौहत्तर
MCCCLXXV	एक हज़ार तीन सौ पचहत्तर
MCCCLXXVI	एक हज़ार तीन सौ छिहत्तर
MCCCLXXVII	एक हज़ार तीन सौ सतहत्तर
MCCCLXXVIII	एक हज़ार तीन सौ अठहत्तर
MCCCLXXIX	एक हज़ार तीन सौ उनासी
MCCCLXXX	एक हज़ार तीन सौ अस्सी
MCCCLXXXI	एक हज़ार तीन सौ इक्यासी
MCCCLXXXII	एक हज़ार तीन सौ बयासी
MCCCLXXXIII	एक हज़ार तीन सौ तिरासी
MCCCLXXXIV	एक हज़ार तीन सौ चौरासी
MCCCLXXXV	एक हज़ार तीन सौ पचासी
MCCCLXXXVI	एक हज़ार तीन सौ छियासी
MCCCLXXXVII	एक हज़ार तीन सौ सत्तासी
MCCCLXXXVIII	एक हज़ार तीन सौ अट्ठासी
MCCCLXXXIX	एक हज़ार तीन सौ नवासी
MCCCXC	एक हज़ार तीन सौ नब्बे
MCCCXCI	एक हज़ार तीन सौ इक्यानबे
MCCCXCII	एक हज़ार तीन सौ बानबे
MCCCXCIII	एक हज़ार तीन सौ तिरानबे
MCCCXCIV	एक हज़ार तीन सौ चौरानबे
MCCCXCV	एक हज़ार तीन सौ पंचानबे
MCCCXCVI	एक हज़ार तीन सौ छियानबे
MCCCXCVII	एक हज़ार तीन सौ सत्तानबे
MCCCXCVIII	एक हज़ार तीन सौ अट्ठानबे
MCCCXCIX	एक हज़ार तीन सौ निन्यानबे
MCD	एक हज़ार चार सौ
MCDI	एक हज़ार चार सौ एक
MCDII	एक हज़ार चार सौ दो
MCDIII	एक हज़ार चार सौ तीन
MCDIV	एक हज़ार चार सौ चार
MCDV	एक हज़ार चार सौ पाँच
MCDVI	एक हज़ार चार सौ छह
MCDVII	एक हज़ार चार सौ सात
MCDVIII	एक हज़ार चार सौ आठ
MCDIX	एक हज़ार चार सौ नौ
MCDX	एक हज़ार चार सौ दस
MCDXI	एक हज़ार चार सौ ग्यारह
MCDXII	एक हज़ार चार सौ बारह
MCDXIII	एक हज़ार चार सौ तेरह
MCDXIV	एक हज़ार चार सौ चौदह
MCDXV	एक हज़ार चार सौ पंद्रह
MCDXVI	एक हज़ार चार सौ सोलह
MCDXVII	एक हज़ार चार सौ सत्रह
MCDXVIII	एक हज़ार चार सौ अठारह
MCDXIX	एक हज़ार चार सौ उन्नीस
MCDXX	एक हज़ार चार सौ बीस
MCDXXI	एक हज़ार चार सौ इक्कीस
MCDXXII	एक हज़ार चार सौ बाईस
MCDXXIII	एक हज़ार चार सौ तेईस
